Pro,Con,Judge,Result,"Pro								Points","Con								Points"
Horace Mann LG,Princeton BS,Mukesh Gupta,Pro,"Maeve G																																																												30																																																																												Sean L																																																												30","Nicholas B																																																												29																																																																												Chris S																																																												29"
Thomas Jefferson HSST CL,Western KP,Cody Gustafson,Pro,"Alina C																																																												30																																																																												Grace L																																																												30","Roodarnley P																																																												30																																																																												Shawn K																																																												30"
Newton South BS,Oakwood BT,Isaac Gutierrez,Con,"Laura B																																																												28																																																																												Noya S																																																												28","Sylvie T																																																												29																																																																												Eliana B																																																												29"
Dulles MB,University MH,Tom Hagedorn,Pro,"Jayda M																																																												28																																																																												Tiffany B																																																												28","Colin H																																																												28																																																																												Ananth M																																																												28"
Myers Park JB,Shrewsbury PN,Kate Hamm,Pro,"Camden B																																																												27																																																																												Ethan J																																																												28","Siddharth P																																																												28																																																																												Sameer N																																																												27"
Poly Prep Country Day MB,NHSDLC National HS Debate League of China YG,Eric Han,Pro,"Myrtle B																																																												29																																																																												Nicholas M																																																												29","Meiqi Y																																																												29																																																																												Yimo G																																																												29"
Thomas Jefferson HSST BM,Edina SB,William Harkless,Pro,"Tanvi B																																																												29																																																																												Raed M																																																												29","Saketh B																																																												28																																																																												Kedar S																																																												28"
American Heritage Boca/Delray ME,Association for Global CY,,"Pro BYE																									Con FFT","Pro BYE																									Con FFT",
VDA - Vancouver MS,Strath Haven BM,Lenny Herrera,Pro,"Joseph M																																																												28																																																																												Rina S																																																												29","Justin B																																																												28																																																																												Dania M																																																												28"
Regis OZ,Bergen County Academies CK,Jun Hong,Con,"Alex O																																																												28																																																																												Julian Z																																																												27","Andrew C																																																												28																																																																												Neil K																																																												28"
Milton DH,Mission San Jose BW,Yi Hou,Pro,"Yaman H																																																												29																																																																												Lorenzo D																																																												29","Tannvi B																																																												29																																																																												Yuvraj W																																																												29"
Dalton BM,Bronx Science KM,Hanrui Huang,Pro,"Arav M																																																												28																																																																												Anysa B																																																												28","Asuka K																																																												28																																																																												Elizabeth M																																																												28"
Buchholz TL,Seven Lakes KM,Prince Hyeamang,Con,"Timmy L																																																												28																																																																												Isabelle T																																																												28","Aarush K																																																												29																																																																												Arnav M																																																												29"
Winston Churchill NZ,Regis KS,Morgan Russell,Con,"Catherine N																																																												29																																																																												Allison Z																																																												29","Hugh K																																																												28																																																																												Shane S																																																												28"
Fort Lee KK,Hawken OB,Ruja Kambli,Con,"Aagam K																																																												29																																																																												Matthew K																																																												29","Parker O																																																												29																																																																												Sam B																																																												29"
Strake Jesuit  BG,Lambert BY,Laura Kane,Pro,"Simon B																																																												29																																																																												Ben G																																																												30","Brian Y																																																												29																																																																												Varnica B																																																												29"
Cranbrook HW,Seven Lakes SZ,Ramesh Kodnani,Con,"Ben W																																																												29																																																																												Lily H																																																												29","Arjun S																																																												30																																																																												Justin Z																																																												30"
