Pro,Con,Judges,Votes,Result
Auburn MI,Altamont SG,"Brendan Lynch																																		Blake Meyer																																		Naren Chittem","Con																												Con																												Con","3-0																															CON"
Ridgewood PW,Lambert MB,"Dan Bagwell																																		Reil Rahman																																		Samuel Georgecink","Pro																												Con																												Con","2-1																															CON"
