Pro,Con,Judge,Result
Marist EL,DenEas MG,Evan Beck,Pro
Marist NH,Interl LL,Beth Cole,Con
ColPre SW,Brentw GP,Ezra Davidson,Pro
DenSou RC,ParCit GO,Caitlyn Jones,Con
DenEas NW,Brentw GS,Jaemyeong Jung,Con
WesHS AY,GeoWas JF,Trey LaCroix,Con
Hillcr MM,SevLak LZ,Max Marrinan,Con
ParCit LW,RowHal SH,Henry Nomeland,Pro
SalHil MB,WesHS MS,Max O'Reilly,Con
DenSou BR2,GeoWas RW,Amy O'Reilly,Pro
ColPre CW,DenSou RS,Will Sjostrom,Pro
MadWes CG,Interl TL,Benny Sun,Pro
ParCit OB,GeoWas AS,Evan Beck,Pro
ColPre HuPi,SalHil LM,Beth Cole,Pro
Interl GJ,Logan BW,Ezra Davidson,Pro
ParCit MC,SevLak KM,Caitlyn Jones,Con
Foothi MK,GeoWas FE,Trey LaCroix,Con
Sidwel CZ,Hillcr IV,Max Marrinan,Pro
DenEas GS,DelNor AH,Henry Nomeland,Con
Lynbro RG,RowHal WM,Max O'Reilly,Pro
Brentw SN,DenEas MC,Amy O'Reilly,Con
ParCit AR,Interl KS,Benny Sun,Con
Waterf BS,,,
