Pro,Con,Judges,Votes,Result
Burbank CF,Miramonte MY,"Tiffany Gee Ching Lo																																		Andrew Thong																																		Devin Anderson","Con																												Con																												Con","3-0																															CON"
St Francis BC,College Prep BB,"Guangyuan Li																																		Elena Soloveitchik																																		Andrew Anagnost","Con																												Pro																												Con","2-1																															CON"
