Pro,Con,Judges,Votes,Result
Bergen County Academies MS,College Prep BB,"Sahil Chiniwala																																		Devin Anderson																																		Sandi Balonick","Con																												Con																												Pro","2-1																															CON"
Glen Rock SO,Miramonte MY,"Linsong Guo																																		Sara Moghadam																																		michael starzynski","Con																												Con																												Con","3-0																															CON"
Lynbrook GY,St Francis BC,"Manoj Garg																																		Andrew Anagnost																																		Faith LoPiccolo","Con																												Con																												Pro","2-1																															CON"
Burbank CF,Palo Alto TS,"Edward Kunkle																																		Ikem Okoh																																		Claudia Benitez","Pro																												Pro																												Pro","3-0																															PRO"
