Pro,Con,Judges,Votes,Result
Bronx Science AE,Marist LE,"Maddie Cook																																		Krishna Shamanna																																		Reeti Mangal","Con																												Pro																												Pro","2-1																															PRO"
Dublin CK,L C Anderson BC,"Julia Bittencourt																																		Hamed Hekmat																																		Wesley Loofbourrow","Con																												Con																												Con","3-0																															CON"
College Prep HP,Brookfield East CS,"Sophia Lam																																		Charlie Jackson																																		Miguel Harvey","Con																												Pro																												Pro","2-1																															PRO"
Poly Prep Country Day LS,College Prep BB,"Lindsay Savidge																																		Lillian Albrecht																																		David Cheng","Pro																												Pro																												Con","2-1																															PRO"
