Pro,Con,Judges,Votes,Result
Poly Prep Country Day LS,Bronx Science AE,"Hamed Hekmat																																		Wesley Loofbourrow																																		Miguel Harvey","Con																												Con																												Pro","2-1																															CON"
College Prep HP,L C Anderson BC,"Will Sjostrom																																		Krishna Shamanna																																		Reeti Mangal","Pro																												Pro																												Con","2-1																															PRO"
