Pro,Con,Judges,Votes,Result
Strake Jesuit  DK,Southlake Carroll PS,"Mac Hays																																		Venkat Nanduri																																		Anna Brent-Levenstein","Pro																												Con																												Pro","2-1																															PRO"
Edgemont Junior-Senior MM,Ardrey Kell AP,"Olga Granda																																		Chad Meadows																																		Joseph Donowho","Con																												Pro																												Con","2-1																															CON"
Poly Prep Country Day LS,Poly Prep Country Day ST,,Poly Prep Country Day LS advances,Poly Prep Country Day LS advances
Bronx Science MY,Ransom Everglades GR,"John Sims																																		Lauryn Walker																																		Christine Anthony","Con																												Pro																												Con","2-1																															CON"
