Pro,Con,Judges,Votes,Result
Boston Latin CJ,Newton South AT,"Tara Gill																																		Pranav Kasibhatla																																		Katherine Brainard","Con																												Pro																												Con","2-1																															CON"
Hackley YY,Westlake BB,,"Pro BYE																									Con FFT","Pro BYE																									Con FFT"
