Pro,Con,Judge,Result
Newton South TA,Brookfield East OP,Samrat Pradhan,Con
Seven Lakes BR,Ransom Everglades GR,Alex Baker,Con
Newton South DD,Eagan SS,Justin Flynn,Pro
Delbarton BS,Cranbrook KW,Sergio Martinez,Pro
Belvidere North KK,Eastview QD,Marcus Ellinas,Pro
Seven Lakes CH,Chantilly KN,Shailja Panchal,Pro
Lakeville North SD,Carmel CT,Kegan Ferguson,Con
Ransom Everglades RT,Blake GZ,Andrew Hentges,Pro
Eastview HG,Blake OR,John Manahan,Pro
Delbarton NG,Carmel HY,Annalisa Keuler,Pro
Edina SR,Belvidere North BK,Venkat Nanduri,Con
Lakeville North GM,Mountain Brook HB,Nate Kruger,Pro
Seven Lakes LW,Blake TW,Lillian Albrecht,Con
Summit RK,Seven Lakes MK,Cooper Carlile,Con
Mountain Brook SG,Walt Whitman HS,Christopher Bryant,Con
Oakwood GH,Delbarton MS,Ava Olson,Con
Brookfield East MJ,Summit CA,Kate Carroll,Con
Brookfield East SK,Edina SJ,Zach Dyar,Con
Strake Jesuit  KG,Eagan HK,Sumukh Tendulkar,Pro
Wayzata LC,Cranbrook WH,Michael Milles,Con
Blake DP,BASIS Chandler CV,Silvia Aydinyan,Pro
Lakeville North LM,Mountain Brook YB,Melanie Cohn,Con
Eagan GM,Brookfield East CS,Bilal Askari,Con
Oakwood BT,Lakeville North SN,Siva Sambasivam,Pro
Ransom Everglades GM,Hackley YY,Dylan Gentilcore,Con
Mountain Brook HL,Edina BS,Bryce Piotrowski,Pro
Ottumwa AG,Eagan KH,Benjamin Redler,Pro
Brookfield East BP,Wayzata CM,Joshua Enebo,Con
Walt Whitman LH,Delbarton CE,Alessandro Perri,Pro
Delbarton BW,Blake HK,Gus Gerlach,Con
Walt Whitman DP,Del Norte AH,Kian O'Connor,Con
Mountain Brook SF,Cranbrook BL,Maddie Cook,Pro
