Pro,Con,Judges,Votes,Result
Westlake RL,Centennial CR,"Jacob Mammen																																		Mika Freund																																		Obinna Dennar","Pro																												Pro																												Pro","3-0																															PRO"
Westlake SW,Southlake Carroll KY,"Umar Abdul-Qadir																																		KJ Marino																																		Bryce Keeler","Pro																												Con																												Con","2-1																															CON"
