Pro,Con,Judges,Votes,Result
College Prep BB,Strake Jesuit  DG,"Ethan Massa																																		Hannah Stafford																																		Pranav Kasibhatla","Pro																												Con																												Con","2-1																															CON"
Durham SW,Brentwood MH,"Venkat Sambaraj																																		Sanjim Uppal																																		Fawaz Ahmad","Pro																												Pro																												Pro","3-0																															PRO"
Southlake Carroll SP,Hawken LB,"Sophia Lam																																		Justin Flynn																																		Sam Goldstone","Con																												Pro																												Con","2-1																															CON"
Blake TW,Brookfield East CS,"Eli Glickman																																		Hugh Thompson																																		Joseph Georges","Pro																												Pro																												Pro","3-0																															PRO"
