Pro,Con,Judges,Votes,Result
Blake TW,Strake Jesuit  DG,"Anthony Brown																																		Eli Glickman																																		Hugh Thompson																																		Justin Flynn																																		Sam Goldstone","Con																												Pro																												Con																												Con																												Pro","3-2																															CON"
Hawken LB,Durham SW,"Venkat Sambaraj																																		Sanjim Uppal																																		Pranav Kasibhatla																																		Fawaz Ahmad																																		Joseph Georges","Pro																												Con																												Con																												Pro																												Pro","3-2																															PRO"
