Pro,Con,Judges,Votes,Result
Acton-Boxborough MG,Bethesda Chevy Chase SS,"Callie Ham																																		Mark Eggerts																																		Anna Jaoudi","Pro																												Pro																												Pro","3-0																															PRO"
Bronx Science KM,Livingston ZS,"Ritu Gautam																																		Andrew Ridgeway																																		Avery Wilson","Con																												Con																												Con","3-0																															CON"
South Forsyth GG,Collegiate OV,"Vietta Grinberg																																		Dave Zhang																																		Mike Siller","Con																												Pro																												Pro","2-1																															PRO"
Stuyvesant NH,Sidwell Independent PW,"Renee Li																																		Lan Xia																																		Paul Stares","Con																												Con																												Pro","2-1																															CON"
