Pro,Con,Judges,Votes,Result
South Forsyth GG,Sidwell Independent PW,"Callie Ham																																		Bibi Singh																																		Mike Siller","Con																												Con																												Con","3-0																															CON"
Livingston ZS,Acton-Boxborough MG,"Eli Qian																																		Andrew Ridgeway																																		Tracy Brown","Pro																												Pro																												Pro","3-0																															PRO"
