Pro,Con,Judges,Votes,Result
University HM,Blake KP,"Jeffrey Miller																																		Satish Bommineni																																		Ben Carson","Pro																												Pro																												Pro","3-0																															PRO"
Poly Prep Country Day LS,Edgemont Junior-Senior MM,"Vlad Savransky																																		Alessandro Perri																																		Nicole Tommarazzo","Con																												Con																												Con","3-0																															CON"
Del Norte Independent AH,Hackley YY,"Michael Zhao																																		Zara Chapple																																		Wesley Loofbourrow","Pro																												Con																												Pro","2-1																															PRO"
Blake TW,Lambert MY,"Gabe Rusk																																		Brooks Howell																																		Evan Streams","Con																												Con																												Con","3-0																															CON"
El Camino Real Charter DL,Fairmont Prep GG,,"Pro FFT																									Con BYE","Pro FFT																									Con BYE"
Ravenwood MC,University CT,"Abby Schirmer																																		Joshua Enebo																																		Joseph Choi","Con																												Con																												Pro","2-1																															CON"
Flintridge Prep VZ,Durham WS,"Javier Hernandez																																		Meg Kandarpa																																		Oksana Savransky","Con																												Con																												Con","3-0																															CON"
Centennial BN,Lambert ZR,"Noah Mengisteab																																		Andrew Halverson																																		Matthew St-Germain","Pro																												Pro																												Con","2-1																															PRO"
