Pro,Con,Judges,Votes,Result
Potomac GU,Dexter RS,"Joanne Parker																																		Asher Chancey																																		Jenny Kuo","Pro																												Pro																												Pro","3-0																															PRO"
North Allegheny PJ,Ravenwood MT,"Hong Gao																																		Sam Ring																																		Debora Marsh","Pro																												Pro																												Pro","3-0																															PRO"
Interlake SK,JR Masterman KC,"Phani Uppalapati																																		Lucy Fang																																		Nicholas Marques","Pro																												Pro																												Con","2-1																															PRO"
Winston Churchill MZ,Centennial LY,"Jake Wier																																		Tate Evans																																		Rose Reilly","Pro																												Pro																												Pro","3-0																															PRO"
Saline CO,DebateDrills RM,"tianhong zhou																																		Lisa Grzywacz																																		Meera Krishna","Pro																												Con																												Con","2-1																															CON"
Dexter CD,Dexter CK,,Dexter CD advances,Dexter CD advances
Cranbrook BL,,,,
JR Masterman CA,,,,
