Pro,Con,Judges,Votes,Result
Cranbrook BL,Winston Churchill MZ,"Shubh Agrawal																																		Jessica Hsu																																		Faith Tabler","Con																												Pro																												Con","2-1																															CON"
Interlake SK,JR Masterman CA,"Hong Gao																																		Noah Waldman																																		Jared Spiers","Con																												Pro																												Pro","2-1																															PRO"
