Pro,Con,Judge,Result
Mission San Jose BW,BASIS Chandler CV,Kedar Pandya,Pro
L C Anderson DY,Duchesne Academy Of The Sacred Heart BB,Matthew Cupich,Pro
Delbarton MS,Vista Ridge PR,Samir Idrees,Pro
Westwood BM,Winston Churchill HM,Bryan Benitez,Pro
A and M Consolidated WL,La Salle  GN,Emma Guan,Pro
Westlake SY,Westlake PH,,Westlake SY advances
Hendrickson MG,St John's LF,Israel Pizana,Con
Plano West MZ,Flintridge Prep YC,David Herrera,Pro
