Pro,Con,Judge,Result
South Potomac AS,BergenTech KN,Victor Chen,Con
North Potomac LZ,Potomac QZ,Sriman Gaddam,Pro
Winston Churchill HT,North Potomac AM,Adrienne Houpt,Con
Potomac CV,Winston Churchill ZM,Prudhvidhar Lingala,Con
West Potomac PS,East Potomac DM,Boomba Nishikawa,Con
West Potomac AY,Potomac MP,Justinmar Perez,Con
South Potomac CN,North Potomac CQ,Jessica Petri,Con
East Potomac BD,South Potomac LR,Nicole Sandoval,Pro
Lake Washington CG,West Potomac SV,Jonathan Savoy,Con
Chelmsford ML,Upper St Clair BK,Sukhjit Singh,Pro
Winston Churchill SZ,East Potomac WW,Hema Vadlamudi,Pro
